id_empleado,departamento,educacion,antiguedad_anios,edad,desempeno_pre,tratamiento,desempeno_post
E001,Servicio al Cliente,Universitario,1.5,37.0,62.7,1,62.1
E002,Comercial,Técnico,6.4,41.0,62.4,0,51.0
E003,Comercial,Bachillerato,2.3,50.0,67.3,1,76.9
E004,Operaciones,Técnico,9.0,20.0,74.6,1,68.8
E005,Servicio al Cliente,Posgrado,0.3,37.0,71.8,1,67.7
E006,Servicio al Cliente,Bachillerato,2.6,28.0,76.8,1,68.4
E007,Comercial,Universitario,2.1,20.0,63.3,0,55.9
E008,Operaciones,Universitario,3.2,41.0,76.3,1,79.9
E009,Servicio al Cliente,Universitario,2.5,45.0,68.0,0,55.2
E010,Operaciones,Posgrado,2.5,31.0,81.7,1,82.9
E011,Comercial,Universitario,6.4,36.0,66.8,1,60.4
E012,Comercial,Posgrado,4.5,33.0,70.3,0,63.3
E013,Operaciones,Universitario,1.7,37.0,69.6,1,62.6
E014,Servicio al Cliente,Universitario,7.0,41.0,84.2,1,73.4
E015,Servicio al Cliente,Posgrado,6.1,37.0,69.8,1,49.2
E016,Comercial,Universitario,1.1,37.0,53.4,0,30.4
E017,Servicio al Cliente,Técnico,2.9,44.0,47.0,1,45.4
E018,Servicio al Cliente,Bachillerato,0.2,33.0,77.6,1,74.5
E019,Servicio al Cliente,Universitario,6.1,41.0,77.6,0,60.9
E020,Servicio al Cliente,Técnico,3.1,27.0,87.4,1,70.6
E021,Operaciones,Técnico,1.8,47.0,67.5,0,46.9
E022,Operaciones,Posgrado,4.2,40.0,69.4,1,68.3
E023,Servicio al Cliente,Posgrado,2.6,31.0,69.2,1,55.7
E024,Comercial,Técnico,5.0,20.0,62.6,0,55.8
E025,Comercial,Posgrado,12.7,34.0,66.7,1,65.9
E026,Operaciones,Técnico,4.5,25.0,73.9,1,76.9
E027,Comercial,Técnico,6.3,36.0,84.2,1,91.4
E028,Operaciones,Universitario,11.9,46.0,81.8,1,70.6
E029,Comercial,Bachillerato,9.4,35.0,66.7,1,60.2
E030,Servicio al Cliente,Bachillerato,1.9,33.0,71.6,1,74.8
E031,Comercial,Universitario,6.0,37.0,71.9,1,64.6
E032,Comercial,Universitario,9.5,36.0,65.8,0,41.4
E033,Comercial,Técnico,1.9,20.0,51.8,0,36.5
E034,Comercial,Universitario,5.7,36.0,59.6,0,50.4
E035,Operaciones,Posgrado,8.0,39.0,85.7,0,58.8
E036,Comercial,Posgrado,5.7,32.0,72.6,1,79.6
E037,Operaciones,Técnico,1.3,42.0,58.7,0,56.1
E038,Servicio al Cliente,Universitario,4.0,33.0,69.1,0,48.3
E039,Operaciones,Universitario,7.0,40.0,77.9,1,63.5
E040,Operaciones,Universitario,1.5,52.0,59.7,0,48.7
E041,Servicio al Cliente,Técnico,2.6,33.0,57.9,0,43.5
E042,Comercial,Técnico,3.2,20.0,46.2,0,36.9
E043,Comercial,Técnico,7.3,31.0,83.9,1,78.7
E044,Operaciones,Universitario,2.1,20.0,73.7,0,56.9
E045,Servicio al Cliente,Universitario,2.8,39.0,75.3,0,69.5
E046,Servicio al Cliente,Universitario,1.5,44.0,72.9,0,63.7
E047,Comercial,Universitario,11.1,40.0,49.5,1,55.3
E048,Servicio al Cliente,Técnico,3.9,37.0,69.4,0,47.0
E049,Operaciones,Posgrado,6.9,29.0,75.9,0,49.9
E050,Operaciones,Universitario,1.3,47.0,66.9,1,61.0
E051,Servicio al Cliente,Técnico,2.7,40.0,38.9,1,52.7
E052,Comercial,Universitario,6.5,36.0,68.7,1,71.0
E053,Servicio al Cliente,Técnico,4.4,36.0,65.4,1,65.3
E054,Operaciones,Universitario,2.6,35.0,79.5,1,79.4
E055,Servicio al Cliente,Técnico,5.4,38.0,68.1,1,54.3
E056,Comercial,Bachillerato,3.4,29.0,61.5,1,47.0
E057,Operaciones,Universitario,3.5,46.0,61.6,0,58.3
E058,Servicio al Cliente,Bachillerato,4.6,35.0,77.4,1,64.8
E059,Servicio al Cliente,Universitario,0.9,39.0,73.8,0,52.7
E060,Servicio al Cliente,Técnico,2.0,31.0,64.0,0,55.3
E061,Servicio al Cliente,Universitario,4.8,37.0,64.1,1,57.3
E062,Servicio al Cliente,Bachillerato,1.1,20.0,38.3,1,38.9
E063,Servicio al Cliente,Universitario,2.7,25.0,42.7,0,37.4
E064,Comercial,Bachillerato,2.9,34.0,57.3,0,47.2
E065,Comercial,Técnico,2.3,23.0,65.1,0,40.4
E066,Operaciones,Universitario,8.8,54.0,62.5,1,54.6
E067,Comercial,Técnico,2.9,21.0,49.2,0,45.0
E068,Comercial,Universitario,5.8,37.0,69.2,1,58.1
